abruptly,резко / внезапно,,0,0
absence,отсутствие / недостаток,,0,0
absorbed,поглощенный / захваченный,,0,0
abundant,изобилующий,,0,0
abundant,богатый / обильный / изобилующий,,0,0
abuse,злоупотреблять / злоупотребление,,0,0
accommodated,приспособленный,,0,0
accuse,обвинять / предъявлять обвинение,,0,0
accusing,обвинение,,0,0
accustomed,привычный / приученный,,0,0
acknowledge,признавать / подтверждать,,0,0
acute,острый / проницательный / сообразительный,,0,0
ado,суета / суматоха,,0,0
ado,суета / суматоха / трудности / хлопоты,,0,0
advance,продвижение / аванс / улучшение / предварительный / заблаговременный,,0,0
adverse,неблагоприятный / враждебный,,0,0
adversely,враждебно,,0,0
affair,дело / связь,,0,0
affirmative,утвердительный,,0,0
affirmatively,утвердительно / конструктивно,,0,0
afford,иметь возможность / позволять себе что-л. / предоставлять,,0,0
aggravate,усугублять,,0,0
agreed!,По рукам! / Решено!,,0,0
aim,стремиться,,0,0
alas,увы!,,0,0
allegedly,якобы / будто бы / как утверждают,,0,0
allegedly,якобы / будто бы / как утверждают,,0,0
allude,намекать / упоминать,,0,0
allude,намекать / ссылаться / подразумевать,,0,0
alongside,бок о бок,,0,0
aloud,вслух,,0,0
alternate,чередоваться / поочередный,,0,0
alternate,чередоваться / чередовать / сменять друг друга,,0,0
altogether,в целом / совсем / в общем,,0,0
ambiguous,неоднозначный / двусмысленный,,0,0
amend,вносить поправки / исправлять,,0,0
amid,посреди,,0,0
amplify,гиперболизировать,,0,0
apt,подходящий / уместный,,0,0
apt,подходящий / уместный,,0,0
as cold as charity,бессердечный / бесчувственный / черствый,,0,0
as far as,насколько / поскольку,,0,0
as though,как будто / как если бы / будто,,0,0
as to,относительно / что касается,,0,0
assault,нападение / штурм,,0,0
assert,утверждать / заявлять,,0,0
assert,утверждать / отстаивать / предъявлять обвинение,,0,0
assertiveness,напористость,,0,0
astonishment,удивление / изумление,,0,0
at once,сразу / тотчас,,0,0
at the latest,самое позднее,,0,0
at times,иногда / временами,,0,0
atop,поверх / наверху / сверху,,0,0
attain,достигать / добиваться,,0,0
attain,достигать,,0,0
attend,присутствовать / посещать,,0,0
attendant,сопутствующий,,0,0
attested,проверенный,,0,0
averted,отводить,,0,0
backward,назад / обратно / в обратном направлении,,0,0
balk,препятствие / упираться / препятствовать / игнорировать,,0,0
barely,едва,,0,0
behold,созерцать / смотреть,,0,0
beside,рядом / возле,,0,0
beside oneself,вне себя,,0,0
besides,кроме / помимо / кроме того,,0,0
bewildered,озадаченный,,0,0
bleach,отбеливатель,,0,0
boast,хвастовство / предмет гордости / хвастать,,0,0
bow,подчиняться / покоряться,,0,0
breach,нарушение / брешь / нарушать,,0,0
breakdown,поломка,,0,0
bribe,взятка / подкуп / подкупать,,0,0
brittle,ломкий,,0,0
brought,привел,,0,0
bulky,громоздкий / объемистый,,0,0
bunch,сбивать в кучу,,0,0
burst,взрыв / вспышка / лопнуть,,0,0
burst,прорываться / ворваться,,0,0
by much,намного,,0,0
by virtue of,в силу / на основании,,0,0
call upon,навещать,,0,0
canoodle,ласкать,,0,0
caption,заголовок / подпись под картинкой / захват,,0,0
carry through,осуществлять / доводить до конца / проводить,,0,0
catch on,ухватиться за,,0,0
catering,общественное питание,,0,0
cease,прекращение / прекращать,,0,0
ceaseless,непрестанный,,0,0
ceaselessly,непрерывно,,0,0
charming,очаровательный,,0,0
chase,преследовать / гнаться / бегать за,,0,0
chasm,пропасть,,0,0
chores,домашняя работа,,0,0
chuckle,хихикать / кудахтать,,0,0
circa,около / приблизительно,,0,0
circumvent,обойти / перехитрить / расстраивать планы,,0,0
cite,ссылаться / цитировать,,0,0
claims,претензий,,0,0
clarity,ясность / прозрачность,,0,0
clause,пункт / оговорка / статья,,0,0
clog,засорять / помеха / засорение,,0,0
clutch,сцепление,,0,0
